_id,recommended,rating_valuemoney,rating_overall,rating_inflightEnt,rating_cabinstaff,rating_seatcomfort,rating_foodbeverage
ObjectId(58994af99bf56223b02ab913),0,1,1,NaN,1,2,3
ObjectId(58994af99bf56223b02ab916),0,2,1,4,1,2,1
ObjectId(58994af99bf56223b02ab919),0,3,2,0,3,3,3
ObjectId(58994af99bf56223b02ab91b),1,4,9,5,5,3,4
ObjectId(58994af99bf56223b02ab91d),0,1,1,3,1,2,2
ObjectId(58994af99bf56223b02ab91f),0,2,4,1,2,1,1
ObjectId(58994af99bf56223b02ab920),1,4,8,4,4,3,4
ObjectId(58994af99bf56223b02ab921),1,4,9,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab923),0,1,1,1,3,1,2
ObjectId(58994af99bf56223b02ab926),1,5,9,4,4,5,4
ObjectId(58994af99bf56223b02ab928),0,1,NaN,1,2,2,2
ObjectId(58994af99bf56223b02ab92a),0,1,1,1,1,1,1
ObjectId(58994af99bf56223b02ab92d),1,5,9,5,5,4,5
ObjectId(58994af99bf56223b02ab92f),0,2,5,1,3,4,4
ObjectId(58994af99bf56223b02ab931),1,4,5,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab933),0,1,1,0,3,1,0
ObjectId(58994af99bf56223b02ab935),1,4,9,0,4,4,4
ObjectId(58994af99bf56223b02ab937),0,1,1,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab938),0,1,NaN,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab93a),0,1,1,4,1,0,0
ObjectId(58994af99bf56223b02ab93d),1,4,4,NaN,5,4,1
ObjectId(58994af99bf56223b02ab93f),0,1,1,1,1,1,1
ObjectId(58994af99bf56223b02ab941),0,2,NaN,3,1,3,3
ObjectId(58994af99bf56223b02ab943),1,3,7,4,4,3,1
ObjectId(58994af99bf56223b02ab945),1,4,6,5,1,3,3
ObjectId(58994af99bf56223b02ab946),1,5,8,3,4,4,4
ObjectId(58994af99bf56223b02ab948),0,2,1,1,2,1,3
ObjectId(58994af99bf56223b02ab949),0,2,4,1,1,2,1
ObjectId(58994af99bf56223b02ab94c),1,3,7,2,4,4,4
ObjectId(58994af99bf56223b02ab94d),0,1,NaN,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab94e),1,4,9,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab94f),0,1,NaN,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab950),1,4,7,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab951),0,4,4,3,3,2,3
ObjectId(58994af99bf56223b02ab952),1,4,9,4,4,4,3
ObjectId(58994af99bf56223b02ab953),0,1,1,1,1,3,1
ObjectId(58994af99bf56223b02ab955),0,2,3,1,2,2,2
ObjectId(58994af99bf56223b02ab956),1,4,7,5,4,3,4
ObjectId(58994af99bf56223b02ab957),1,4,6,2,4,4,3
ObjectId(58994af99bf56223b02ab958),0,3,5,1,2,3,1
ObjectId(58994af99bf56223b02ab959),1,4,NaN,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab95a),0,NaN,4,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab95b),1,5,9,3,5,5,4
ObjectId(58994af99bf56223b02ab95c),1,4,9,NaN,NaN,NaN,NaN
ObjectId(58994af79bf56223b02ab85b),1,5,9,4,5,4,5
ObjectId(58994af99bf56223b02ab85d),1,4,8,4,5,4,4
ObjectId(58994af99bf56223b02ab85f),1,5,10,4,5,5,2
ObjectId(58994af99bf56223b02ab861),0,3,4,1,2,2,3
ObjectId(58994af99bf56223b02ab863),0,2,2,0,1,3,3
ObjectId(58994af99bf56223b02ab865),0,1,1,1,2,1,1
ObjectId(58994af99bf56223b02ab868),0,5,2,0,1,1,1
ObjectId(58994af99bf56223b02ab86a),0,1,1,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab86c),1,5,9,5,4,3,4
ObjectId(58994af99bf56223b02ab86e),1,5,9,4,5,5,3
ObjectId(58994af99bf56223b02ab86f),1,5,8,1,4,3,4
ObjectId(58994af99bf56223b02ab870),1,4,9,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab872),1,5,10,5,5,5,5
ObjectId(58994af99bf56223b02ab874),1,4,5,2,4,3,4
ObjectId(58994af99bf56223b02ab876),0,4,4,4,2,5,1
ObjectId(58994af99bf56223b02ab878),1,4,8,4,5,5,5
ObjectId(58994af99bf56223b02ab87a),0,NaN,NaN,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab87c),1,4,9,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab87e),0,1,NaN,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab87f),0,1,2,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab881),0,1,NaN,2,1,4,2
ObjectId(58994af99bf56223b02ab883),0,1,1,3,4,1,4
ObjectId(58994af99bf56223b02ab884),0,2,2,5,5,5,5
ObjectId(58994af99bf56223b02ab885),1,5,9,3,5,4,5
ObjectId(58994af99bf56223b02ab886),1,5,9,3,5,3,4
ObjectId(58994af99bf56223b02ab887),1,4,8,3,5,4,5
ObjectId(58994af99bf56223b02ab888),1,5,10,3,4,5,3
ObjectId(58994af99bf56223b02ab889),1,4,9,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab88d),0,1,5,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab88f),1,5,9,3,5,5,5
ObjectId(58994af99bf56223b02ab891),1,4,8,3,5,4,4
ObjectId(58994af99bf56223b02ab892),0,1,1,3,1,2,1
ObjectId(58994af99bf56223b02ab893),1,4,7,2,4,4,3
ObjectId(58994af99bf56223b02ab895),0,NaN,5,NaN,NaN,NaN,NaN
